Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Thailand,THA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,93.9264,103.7364,113.3744,128.5363,144.1118,163.2312,183.542,187.1265,166.5512,174.0806,174.3879,183.0435,194.5276,202.3353,220.4767,228.7033,232.2107,237.214,238.3048,231.4285,245.6832,246.0704,264.102,275.3196,271.7352,279.0886
Viet Nam,VNM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,20.5846,20.7078,21.7165,25.431,29.8995,34.3916,38.729,44.6357,49.9011,51.1241,56.5588,62.1131,73.0981,77.6578,91.9428,100.5562,103.157,114.3032,125.7729,140.8047,156.7592,157.0664,156.776,163.7998,179.6174,201.5078
Indonesia,IDN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,160.8511,173.7365,181.5703,198.883,211.2763,237.3882,250.1717,273.656,276.491,293.1397,294.6399,316.0604,322.8685,352.4141,358.6972,359.8325,382.1883,398.4896,393.8964,409.8985,434.5687,496.3287,503.4282,469.3824,505.126,512.105
Malaysia,MYS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,56.4943,67.9256,71.2937,77.7196,83.531,89.9788,102.8213,110.2631,110.7122,119.5168,129.3413,136.2591,144.8027,153.5366,166.5623,176.9273,184.4002,201.6149,212.9998,192.8238,211.2146,213.6583,216.3157,232.55,246.1679,247.2827
Philippines,PHL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,43.552,43.7499,47.4116,51.1147,55.1857,66.3161,69.4804,77.7891,76.2192,74.6865,75.0427,72.385,73.478,75.4786,76.5742,79.5928,71.8075,77.9852,78.6107,79.5128,85.5175,85.1512,90.1255,98.2481,104.7799,113.9087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
