Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Brunei Darussalam,BRN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,2.0388,1.8855,2.2202,2.6046,2.5653,2.5645,2.8867,2.9181,3.0659,2.7292,3.3949,2.8324,3.0744,3.2624,3.0226,3.0322,3.0062,3.0642,3.2039,3.1829,3.3366,3.7015,3.8969,4.0611,4.3569,4.6918,4.9208,5.4805,4.6638,4.5854,4.8806,4.8684,4.783,5.6946,5.2602,5.1659,7.6891,7.29,8.034,7.9886,7.3281,7.5033,7.4678,7.3729,7.2036,6.5086,7.0525,7.4335,7.7185,7.4079,9.6089,9.8122,9.3757,..
Cambodia,KHM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,0.2132,0.2161,0.2324,0.2834,0.3214,0.272,0.2684,0.2809,0.259,0.2716,0.2915,0.3033,0.3279,0.3673,0.3679,0.4061,0.3537,0.4009,0.4323,0.4177,0.4229,0.4549,0.4598,0.451,0.4741,1.5009,1.6662,1.779,1.9937,1.9421,2.0009,2.1872,2.2475,2.4176,2.4191,2.7008,3.0073,3.6965,4.0967,4.8736,5.1579,5.3633,5.6303,5.6916,7.0289,8.5142,10.5914,11.8491,12.3362,16.0476,16.6003,17.5165,17.6189,..
Indonesia,IDN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,30.9797,31.3515,37.1089,41.866,46.7878,48.6202,52.3295,71.5401,84.1208,90.5106,90.1452,95.1932,95.9382,94.9253,97.0011,105.3824,116.4156,119.5027,127.901,133.7061,160.8511,173.7365,181.5703,198.883,211.2763,237.3882,250.1717,273.656,276.491,293.1397,294.6399,316.0604,322.8685,352.4141,358.6972,359.8325,382.1883,398.4896,393.8964,409.8985,434.5687,496.3287,503.4282,469.3824,505.126,512.105,506.2579,542.0537,596.9417,636.7911,594.277,611.819,692.2361,..
Lao PDR,LAO,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,0.2883,0.2886,0.3075,0.3688,0.4512,0.3741,0.3689,0.3892,0.3864,0.4148,0.4462,0.1825,0.166,0.1786,0.1483,0.1771,0.1907,0.216,0.2181,0.2373,0.2526,0.3012,0.3123,0.3175,0.3499,0.366,0.4286,0.5063,0.5572,0.5521,0.9345,1.0291,1.1544,1.2,1.258,1.3026,1.7086,1.806,2.1095,2.6407,2.9614,3.1262,3.3357,3.9442,4.3874,8.9274,15.8709,19.2441,19.8621,19.3493,19.3847,20.2143,20.1259,..
Malaysia,MYS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,13.7079,14.1035,14.1312,14.6201,17.4301,18.7325,20.6382,20.5601,22.6026,25.4806,27.3445,28.8926,30.4715,34.1582,35.4521,37.3213,37.2259,38.3147,40.9489,48.1133,56.4943,67.9256,71.2937,77.7196,83.531,89.9788,102.8213,110.2631,110.7122,119.5168,129.3413,136.2591,144.8027,153.5366,166.5623,176.9273,184.4002,201.6149,212.9998,192.8238,211.2146,213.6583,216.3157,232.55,246.1679,247.2827,242.7542,234.9983,252.0649,254.4234,252.0651,260.5913,277.5318,..
Myanmar,MMR,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,4.7284,4.7516,4.6418,3.6828,4.2582,4.1743,4.4678,4.7903,4.9667,5.1728,5.4713,5.4221,5.6143,5.4419,5.9547,6.2804,6.5832,4.9776,4.6828,4.7119,4.4274,4.2806,4.5418,5.0797,6.0985,7.3948,7.7823,7.7473,8.4231,9.2426,10.0399,8.7721,8.8431,10.9602,10.6336,11.2448,10.4579,10.9223,8.3574,7.7869,8.6304,9.1743,12.5584,14.1874,17.7401,19.7339,22.9682,33.7355,34.3329,35.4378,35.7899,37.1243,37.394,..
Philippines,PHL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,26.3684,26.6224,27.585,31.2625,29.8141,32.769,32.6726,36.0782,37.3819,40.2363,36.5086,34.4093,34.7904,37.0238,32.8322,32.2361,30.3485,37.0858,38.8138,40.2983,43.552,43.7499,47.4116,51.1147,55.1857,66.3161,69.4804,77.7891,76.2192,74.6865,75.0427,72.385,73.478,75.4786,76.5742,79.5928,71.8075,77.9852,78.6107,79.5128,85.5175,85.1512,90.1255,98.2481,104.7799,113.9087,122.2148,136.584,142.3094,148.8007,136.679,146.1422,155.3809,..
Singapore,SGP,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,6.539,6.5622,7.8553,8.7592,9.1489,9.1967,10.0051,11.1019,12.7231,13.6813,13.7293,14.869,15.5214,16.8467,18.0631,18.8654,19.2232,19.5955,22.0769,23.39,31.5805,33.4026,34.1182,39.3865,41.5545,41.25,42.4212,42.0956,40.9666,41.2994,45.3971,45.7791,45.1035,42.329,44.4112,41.6184,41.8542,43.3583,42.92,43.7624,48.8907,51.3439,50.1614,52.6352,53.8747,55.1901,52.9839,56.8974,54.3556,55.9882,53.9382,55.0716,53.4397,..
Thailand,THA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,18.108,18.1854,20.6326,23.2565,23.236,23.8418,27.2565,30.1244,33.401,35.5294,37.2873,36.7043,35.5306,39.5043,44.688,48.7213,50.3695,58.1334,66.1487,77.0312,93.9264,103.7364,113.3744,128.5363,144.1118,163.2312,183.542,187.1265,166.5512,174.0806,174.3879,183.0435,194.5276,202.3353,220.4767,228.7033,232.2107,237.214,238.3048,231.4285,245.6832,246.0704,264.102,275.3196,271.7352,279.0886,275.3767,274.037,271.251,281.5515,274.2991,276.2881,282.4458,..
Viet Nam,VNM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,17.5072,17.5232,16.9843,18.9262,15.7784,18.5593,13.5593,14.7525,14.9363,15.5795,16.2712,16.7397,18.1238,19.546,19.5968,19.7577,21.6848,24.1184,23.6769,20.3343,20.5846,20.7078,21.7165,25.431,29.8995,34.3916,38.729,44.6357,49.9011,51.1241,56.5588,62.1131,73.0981,77.6578,91.9428,100.5562,103.157,114.3032,125.7729,140.8047,156.7592,157.0664,156.776,163.7998,179.6174,201.5078,223.9845,229.7289,282.3421,333.616,343.1842,337.6902,327.9056,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
