Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Thailand,THA,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,4.93,4.9,5.1,5.15,5.24,5.18,5.03,4.95,4.99,5,5.1,5.05,5.05,5.29,5.22,5.07
Indonesia,IDN,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,5.5,5.43,5.38,5.15,5.22,5.02,4.86,4.55,4.31,4.35,4.26,4.1,3.84,3.53,3.48,3.26
Viet Nam,VNM,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,4.21,4.2,4.28,4.19,4.31,4.25,4.07,4.09,4.14,4.29,4.44,4.18,4.01,3.91,4.11,3.54
Malaysia,MYS,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,5.46,5.65,5.54,5.61,5.66,5.85,5.57,5.59,5.65,5.42,5.23,5.18,4.99,5.38,5.18,4.72
Philippines,PHL,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,4.68,4.32,4.23,4.02,3.74,3.67,3.45,3.32,3.34,3.21,3.13,3.05,2.97,2.87,2.89,2.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
