Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Thailand,THA,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,..,..,..,66230122794.6818,72623006665.4771,80311254042.8535,85701944518.5585,82025322608.5072,72667173069.6727,77529758246.777,79542886984.9874,81407629696.0518,88213660583.8377,96226182549.1853,103217950903.748,108669094139.449,114384934194.484,121915761988.146,124715588320.033,122359682075.732,135142895613.603,129583069459.609,138977814642.658,141135070109.133,141020926174.102,145185677632.176
Indonesia,IDN,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,111383338474.864,122345080441.4,129401134747.139,138725642435.336,154218547352.663,170288377219.452,188491408803.982,198238917277.503,170581949535.874,173939160824.809,184184222003.438,189219716308.916,197285608811.369,204693842023.456,212760975392.459,222769170392.118,232768275313.284,243754936886.939,252866879919.355,261940471515.547,274825976400.438,292276750357.238,307782864823.711,321147264890.201,334738896327.124,344753718607.342
Viet Nam,VNM,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,11526077825.2209,12414967885.2343,14002617645.4844,15770336371.2248,17881884373.6427,20314014506.7829,23251305464.6429,26185822772.5941,28368146871.8518,30548043663.1574,33624117529.7401,36505558631.5557,39149232589.7626,42821517049.1923,47072500271.2029,51035735520.9647,54756146545.394,58788495250.9055,61218423205.0505,64876716403.7605,58438882307.5427,62732694587.4602,67229308273.9944,70673673422.5049,75083064018.5311,81985566680.7351
Malaysia,MYS,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,36158991305.5813,39677982836.4862,42363453509.3384,45566711279.0341,50107482408.1153,58384934095.4051,65503083399.9489,69936929131.1163,63428015175.545,68651381720.2126,76022031425.474,74119553173.0429,77224826974.5133,82932413799.6371,88720018543.1087,91499860888.2769,95441229150.5249,96194509273.3467,95353437362.8534,88991789386.9508,93312949398.9749,95622267631.1883,100339077463.696,103998419790.173,110107608538.126,115870105036.648
Philippines,PHL,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,36179390056.7045,35276667568.4181,35103950354.4435,35704731887.591,37752820799.4237,40211136700.008,42765056206.9969,45363168292.4824,44156301398.5679,43538515701.3392,46427541955.9282,47048719817.1833,48777696832.2558,51199299480.2819,53455590798.7823,56155563693.9313,58251329586.7066,61132112898.9059,64476955574.6293,63563897895.1215,69808149859.2289,70926276435.6184,76379102470.2785,81584720927.8317,87703869748.854,93410680263.0341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
