Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Thailand,THA,"Population, total",SP.POP.TOTL,55228410,56099865,56939020,57776082,58610010,59424834,60211096,60989108,61745217,62442651,63066603,63649892,64222580,64776956,65311166,65821360,66319525,66826754,67328239,67813654,68270489,68712846,69157023,69578602,69960943,70294397
Indonesia,IDN,"Population, total",SP.POP.TOTL,182159874,185361228,188558416,191737287,194928533,198140162,201373791,204628007,207855486,210996910,214072421,217112437,220115092,223080121,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697,250222695,253275918,256229761,259091970
Viet Nam,VNM,"Population, total",SP.POP.TOTL,66912613,68358820,69788747,71176405,72501087,73759110,74946448,76058603,77128424,78123713,79001142,79817777,80642308,81475825,82311227,83142095,83951800,84762269,85597241,86482923,87411012,88349117,89301326,90267739,91235504,92191398
Malaysia,MYS,"Population, total",SP.POP.TOTL,17517054,18017464,18526708,19050077,19588703,20136888,20689051,21249178,21810542,22368655,22945150,23542517,24142445,24739411,25333247,25923536,26509413,27092604,27664296,28217204,28717731,29184133,29660212,30134807,30606459,31068833
Philippines,PHL,"Population, total",SP.POP.TOTL,61558898,63039751,64543525,66083321,67650283,69250468,70944969,72718837,74491918,76249064,77958223,79626086,81285572,82942837,84607501,86261250,87901835,89561377,91252326,92946951,94636700,96337913,98032317,99700107,101325201,103031365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
